TICKER,POSITION_SIZE,STRIKE_PRICE,EXPIRY_DAYS,OPTION_TYPE
TSLA,-4968,0,0,Stock
TSLA,1681,969,48,Put
RELIANCE,4134,1192,78,Put
TCS,-1065,1210,25,Call
RELIANCE,712,0,0,Stock
HDFCBANK,-4941,1090,81,Call
RELIANCE,-167,520,83,Call
RELIANCE,-4035,0,0,Stock
RELIANCE,-2076,1379,14,Call
TSLA,4580,473,38,Call
TCS,-1508,732,9,Put
TCS,1998,1160,46,Put
AAPL,2738,1120,33,Put
HDFCBANK,2131,848,45,Put
AAPL,4850,1491,55,Put
RELIANCE,-2893,868,35,Call
TSLA,-1648,1343,81,Put
TCS,-1531,1120,29,Call
AAPL,1121,1240,83,Call
AAPL,-4296,858,35,Call
AAPL,-1368,0,0,Stock
RELIANCE,485,0,0,Stock
RELIANCE,-571,217,24,Call
AAPL,-1278,701,53,Call
AAPL,2913,526,14,Call
AAPL,616,226,50,Put
AAPL,-4936,1410,60,Put
TCS,1099,0,0,Stock
HDFCBANK,-496,1434,10,Put
RELIANCE,3043,1430,78,Call
HDFCBANK,1558,755,12,Call
TCS,634,655,82,Put
HDFCBANK,-3375,1027,74,Call
TSLA,143,0,0,Stock
TSLA,-2337,609,60,Put
TSLA,-116,501,21,Call
TSLA,-2687,1460,19,Put
HDFCBANK,4103,415,79,Put
RELIANCE,-3112,631,79,Put
AAPL,-674,1183,57,Call
TCS,811,649,64,Put
AAPL,4426,1176,70,Put
HDFCBANK,4599,754,17,Call
RELIANCE,3971,1169,72,Put
TCS,-3749,522,18,Call
AAPL,-1205,849,31,Call
AAPL,2283,627,55,Put
TSLA,-3335,476,89,Put
AAPL,-766,836,44,Call
AAPL,-2090,0,0,Stock
HDFCBANK,1579,1121,82,Put
TSLA,-2177,259,36,Put
TCS,4691,1302,27,Put
RELIANCE,4265,1306,56,Call
TSLA,-1617,252,81,Put
TSLA,4802,1296,58,Put
AAPL,1051,806,80,Call
RELIANCE,-4207,876,44,Put
TSLA,-4141,652,77,Call
HDFCBANK,-332,288,69,Put
RELIANCE,4985,0,0,Stock
TCS,-2272,1119,60,Put
TCS,-1393,1138,88,Put
TSLA,3433,1368,62,Put
TCS,-4458,1173,82,Call
TSLA,2516,443,42,Put
RELIANCE,-2238,0,0,Stock
HDFCBANK,-113,328,42,Put
TSLA,1456,262,10,Put
TCS,3152,480,24,Call
AAPL,-2779,1278,34,Call
TCS,472,442,8,Put
TCS,-4675,469,74,Call
AAPL,-2942,0,0,Stock
AAPL,1690,829,81,Put
AAPL,-4291,1338,59,Put
HDFCBANK,4564,488,38,Put
TCS,1695,811,8,Call
HDFCBANK,-748,1429,10,Call
RELIANCE,-4259,1277,40,Call
AAPL,1453,1235,21,Call
RELIANCE,-1362,347,58,Call
TSLA,3587,376,69,Call
HDFCBANK,-1042,507,64,Call
TSLA,-4100,308,27,Put
HDFCBANK,2474,0,0,Stock
TSLA,-3101,263,7,Call
TCS,-564,0,0,Stock
HDFCBANK,498,0,0,Stock
TSLA,1043,617,74,Call
HDFCBANK,2983,1302,38,Call
HDFCBANK,-3210,668,12,Call
TSLA,826,615,86,Put
TCS,-3341,859,33,Put
RELIANCE,3426,1490,79,Call
RELIANCE,-1953,292,22,Put
TSLA,-325,499,86,Put
TSLA,3795,295,51,Put
RELIANCE,-3032,0,0,Stock
TSLA,3933,1022,56,Put
TSLA,-2893,736,48,Put
TCS,-2300,419,41,Call
TCS,4384,640,36,Call
HDFCBANK,1659,493,40,Put
RELIANCE,166,0,0,Stock
AAPL,-4124,1155,23,Call
HDFCBANK,140,337,38,Put
HDFCBANK,3690,486,54,Put
AAPL,3322,247,43,Call
TCS,1954,1133,63,Call
AAPL,-465,1407,62,Put
AAPL,-1000,0,0,Stock
RELIANCE,3776,0,0,Stock
TCS,1184,1238,22,Call
HDFCBANK,-2798,884,30,Put
TSLA,-2425,424,41,Put
HDFCBANK,-1057,264,46,Call
TCS,4209,1378,54,Put
TCS,4153,795,58,Put
TCS,398,405,78,Put
AAPL,1633,568,67,Call
TSLA,-4435,1165,11,Put
HDFCBANK,4767,1300,25,Put
AAPL,4017,1016,87,Put
TSLA,-3131,995,26,Put
TSLA,-2190,976,20,Call
HDFCBANK,-2472,404,84,Call
TCS,-4819,0,0,Stock
HDFCBANK,-2644,0,0,Stock
TSLA,502,0,0,Stock
TCS,-4562,1212,57,Call
AAPL,2798,1435,25,Call
TCS,-325,770,86,Put
AAPL,4777,497,16,Put
RELIANCE,-1609,1262,35,Call
TCS,2567,602,18,Call
HDFCBANK,-1726,1179,65,Put
RELIANCE,3630,0,0,Stock
TSLA,973,1199,62,Call
RELIANCE,583,1170,19,Put
AAPL,496,0,0,Stock
RELIANCE,1988,0,0,Stock
TCS,-1310,1250,35,Call
HDFCBANK,-2641,1371,60,Put
AAPL,-4696,0,0,Stock
HDFCBANK,-776,913,58,Put
TSLA,-1920,1307,71,Put
HDFCBANK,3668,439,17,Call
AAPL,4334,0,0,Stock
TCS,3070,640,74,Call
TCS,1553,353,41,Call
HDFCBANK,100,325,72,Call
RELIANCE,4078,371,34,Put
TCS,-3702,1079,69,Put
TSLA,850,413,12,Call
HDFCBANK,-2516,983,62,Put
HDFCBANK,4610,1085,12,Put
AAPL,3718,802,66,Call
RELIANCE,-4378,576,38,Call
HDFCBANK,291,392,55,Call
TCS,1527,0,0,Stock
TCS,-1270,0,0,Stock
AAPL,2038,0,0,Stock
TCS,-2728,1131,78,Put
AAPL,1514,743,19,Put
HDFCBANK,1630,715,31,Put
RELIANCE,4056,426,48,Put
RELIANCE,2603,202,12,Put
HDFCBANK,-2795,404,30,Call
AAPL,-2492,0,0,Stock
RELIANCE,-4577,0,0,Stock
HDFCBANK,-1398,229,8,Call
TSLA,1786,847,72,Put
TCS,4041,0,0,Stock
HDFCBANK,3471,999,76,Call
RELIANCE,3430,444,67,Put
AAPL,2065,620,21,Put
TCS,4641,1060,13,Call
RELIANCE,4785,679,36,Put
HDFCBANK,-3379,1228,54,Call
AAPL,661,0,0,Stock
TSLA,-2817,0,0,Stock
TSLA,-2297,389,59,Put
AAPL,3510,0,0,Stock
TCS,2478,1222,64,Call
RELIANCE,-3821,0,0,Stock
HDFCBANK,3753,299,78,Put
TSLA,176,0,0,Stock
AAPL,1185,1221,43,Call
TCS,-3813,1376,32,Call
TSLA,-1797,1385,47,Put
TCS,2327,1058,24,Put
AAPL,-4204,0,0,Stock
AAPL,3689,0,0,Stock
HDFCBANK,1168,0,0,Stock
RELIANCE,1991,853,19,Put
RELIANCE,1776,848,77,Call
RELIANCE,-2941,0,0,Stock
TSLA,2331,1040,71,Put
AAPL,-1756,970,7,Put
AAPL,-4437,354,12,Call
HDFCBANK,3035,511,82,Call
HDFCBANK,3613,790,29,Call
TCS,-1911,453,63,Put
TCS,-2280,961,76,Call
TSLA,-2104,474,69,Call
TSLA,-4744,0,0,Stock
TSLA,2887,0,0,Stock
TCS,4301,997,33,Put
RELIANCE,1590,312,56,Call
TSLA,3442,374,61,Put
RELIANCE,1247,1174,89,Call
TCS,3998,1086,19,Put
RELIANCE,-3315,1103,84,Call
HDFCBANK,-373,1211,21,Call
TCS,-2631,588,39,Put
AAPL,325,599,84,Call
HDFCBANK,185,0,0,Stock
RELIANCE,461,474,64,Call
TSLA,-4599,0,0,Stock
AAPL,-4473,649,60,Call
TCS,-3695,425,47,Put
RELIANCE,-4354,0,0,Stock
RELIANCE,-2725,1321,88,Call
TCS,3844,832,15,Put
TSLA,667,0,0,Stock
TCS,-3713,1386,86,Call
HDFCBANK,-1007,972,39,Call
TSLA,-1191,203,33,Put
HDFCBANK,-4323,1158,12,Put
TSLA,-1283,1347,39,Call
TSLA,1380,227,64,Put
TSLA,1330,1493,11,Call
TSLA,773,0,0,Stock
AAPL,4440,806,64,Put
AAPL,-1776,1128,84,Put
AAPL,-4710,691,41,Put
HDFCBANK,-1245,0,0,Stock
HDFCBANK,-1898,1099,76,Put
RELIANCE,3819,951,16,Put
AAPL,-2202,970,13,Put
TCS,1315,318,13,Call
TCS,2766,855,61,Put
HDFCBANK,432,1123,9,Put
HDFCBANK,1494,1099,47,Put
TCS,-4226,1022,27,Put
TCS,4657,988,37,Call
RELIANCE,3266,0,0,Stock
HDFCBANK,-3871,969,42,Put
HDFCBANK,161,0,0,Stock
TSLA,1102,407,58,Put
AAPL,1058,0,0,Stock
AAPL,-1258,0,0,Stock
AAPL,-2163,246,81,Put
HDFCBANK,2147,1109,84,Put
RELIANCE,-4768,984,50,Call
TCS,-4806,917,33,Put
RELIANCE,-907,623,48,Call
TSLA,4923,631,7,Call
AAPL,-3776,1039,7,Put
RELIANCE,-4125,1046,17,Call
HDFCBANK,969,0,0,Stock
TCS,4654,412,79,Put
HDFCBANK,4068,1373,35,Call
TSLA,3386,0,0,Stock
AAPL,-545,380,10,Put
RELIANCE,900,681,43,Put
TCS,-4097,1240,28,Call
TCS,1328,1043,40,Put
HDFCBANK,3330,1378,51,Call
RELIANCE,2068,1087,23,Put
RELIANCE,1261,536,22,Call
RELIANCE,-1141,0,0,Stock
TSLA,-2373,421,81,Call
HDFCBANK,4004,1055,85,Call
TSLA,-815,0,0,Stock
RELIANCE,-3038,1395,83,Call
AAPL,2411,0,0,Stock
TCS,-4476,0,0,Stock
RELIANCE,-4699,1082,81,Put
AAPL,-2148,636,28,Put
TSLA,-2233,264,69,Put
HDFCBANK,-536,0,0,Stock
TCS,4235,0,0,Stock
RELIANCE,-1378,1123,39,Call
TSLA,2867,1030,20,Call
TCS,1442,508,37,Put
AAPL,4543,809,81,Call
TSLA,-4895,0,0,Stock
RELIANCE,3694,205,59,Call
AAPL,-4891,496,7,Put
AAPL,4054,794,70,Put
HDFCBANK,2371,1418,71,Call
AAPL,-4737,0,0,Stock
RELIANCE,-1954,849,63,Call
TCS,-2363,723,50,Put
RELIANCE,2504,0,0,Stock
RELIANCE,-1195,436,73,Put
AAPL,-4076,0,0,Stock
HDFCBANK,962,1279,51,Put
TCS,-1667,966,20,Put
AAPL,2881,0,0,Stock
RELIANCE,-4450,692,50,Put
HDFCBANK,-1033,662,11,Call
AAPL,-3565,0,0,Stock
TCS,-4615,572,53,Call
TSLA,-4443,1231,74,Put
TSLA,-1832,1078,37,Put
RELIANCE,-3082,914,8,Put
RELIANCE,2884,1304,41,Put
HDFCBANK,4800,255,66,Call
AAPL,3355,0,0,Stock
TSLA,3344,859,80,Call
HDFCBANK,-4349,534,25,Put
TSLA,-1982,245,25,Put
AAPL,-2233,767,22,Call
TSLA,-3230,1436,48,Put
AAPL,-1275,679,72,Put
HDFCBANK,2646,279,81,Call
RELIANCE,-3330,0,0,Stock
AAPL,939,0,0,Stock
TSLA,-3429,290,43,Put
RELIANCE,4313,369,57,Put
TCS,-458,988,40,Put
RELIANCE,-519,850,54,Call
HDFCBANK,4242,1234,74,Call
RELIANCE,2591,1123,35,Put
HDFCBANK,-4189,673,35,Call
HDFCBANK,-1377,0,0,Stock
HDFCBANK,1844,681,59,Call
TCS,-2457,1207,56,Call
AAPL,-2567,0,0,Stock
HDFCBANK,4110,423,86,Call
AAPL,-4323,1282,40,Put
HDFCBANK,-1253,878,55,Call
TSLA,-2992,676,83,Call
TSLA,3328,476,18,Call
RELIANCE,877,558,60,Call
HDFCBANK,-2402,930,19,Call
HDFCBANK,3164,635,68,Put
RELIANCE,-2565,500,12,Put
TCS,3388,0,0,Stock
AAPL,690,1408,61,Call
HDFCBANK,4677,713,34,Put
HDFCBANK,4299,358,72,Put
TSLA,-155,572,78,Put
AAPL,405,1422,60,Put
HDFCBANK,-1925,825,47,Put
TSLA,4141,382,61,Put
HDFCBANK,2217,1483,16,Call
AAPL,825,0,0,Stock
TSLA,-3769,1440,27,Call
RELIANCE,-1188,0,0,Stock
TSLA,-760,0,0,Stock
AAPL,1406,1409,53,Put
RELIANCE,1753,1334,23,Put
HDFCBANK,4196,0,0,Stock
HDFCBANK,2100,560,61,Call
HDFCBANK,-3722,1450,41,Call
TSLA,1181,397,25,Put
TCS,4459,0,0,Stock
HDFCBANK,-4464,1099,37,Put
HDFCBANK,3378,894,41,Call
RELIANCE,4786,328,9,Call
RELIANCE,1175,0,0,Stock
HDFCBANK,-2783,1457,65,Put
AAPL,-1587,1016,43,Put
HDFCBANK,-250,756,53,Put
AAPL,3713,413,16,Call
TCS,1638,0,0,Stock
HDFCBANK,-2427,513,80,Put
AAPL,4951,1045,36,Call
HDFCBANK,-4209,352,14,Call
TCS,-4030,1196,65,Put
TSLA,4547,1450,28,Put
TSLA,1556,0,0,Stock
HDFCBANK,3483,1119,46,Put
AAPL,4434,0,0,Stock
RELIANCE,4187,0,0,Stock
TSLA,3337,793,25,Put
AAPL,-232,515,29,Put
RELIANCE,-1465,689,70,Call
TCS,-3866,655,69,Call
TSLA,841,1109,60,Call
HDFCBANK,-1217,1033,70,Put
HDFCBANK,4264,782,86,Call
AAPL,-3158,203,78,Put
TSLA,-2878,0,0,Stock
AAPL,614,1274,24,Put
RELIANCE,-939,1109,24,Put
RELIANCE,-3427,0,0,Stock
TSLA,1347,0,0,Stock
TSLA,3629,421,85,Call
HDFCBANK,-350,1055,88,Call
AAPL,-1668,1203,36,Call
TSLA,909,1499,30,Call
HDFCBANK,-673,1234,67,Call
HDFCBANK,-2174,0,0,Stock
TSLA,-3728,1296,40,Put
AAPL,4474,665,84,Call
TSLA,-878,0,0,Stock
TCS,3851,1072,64,Put
HDFCBANK,-3131,0,0,Stock
TCS,3932,490,51,Put
HDFCBANK,-4351,0,0,Stock
AAPL,-892,0,0,Stock
TCS,4732,1378,39,Put
TCS,2625,791,74,Call
AAPL,-1768,248,52,Put
TSLA,1655,1348,40,Put
AAPL,425,490,58,Put
RELIANCE,861,248,48,Call
RELIANCE,-4215,531,25,Call
AAPL,-4383,1303,80,Put
RELIANCE,2914,0,0,Stock
AAPL,-1959,1366,28,Call
AAPL,4478,288,45,Put
TCS,-536,0,0,Stock
AAPL,-403,1428,51,Call
TCS,1172,540,77,Call
HDFCBANK,-957,0,0,Stock
AAPL,3984,1014,78,Put
TSLA,-4058,1006,81,Call
TSLA,3396,0,0,Stock
TSLA,-1770,1355,35,Call
AAPL,104,992,74,Call
RELIANCE,1233,1304,28,Call
AAPL,521,388,65,Put
TSLA,1681,392,77,Call
RELIANCE,-1844,1109,64,Call
HDFCBANK,2169,0,0,Stock
RELIANCE,3059,523,76,Put
HDFCBANK,-4888,1243,41,Put
TSLA,2815,952,22,Put
TCS,-4853,0,0,Stock
TSLA,-714,0,0,Stock
AAPL,1812,1261,59,Put
TCS,2285,0,0,Stock
RELIANCE,1813,376,75,Call
TSLA,3522,726,71,Put
TSLA,4032,288,56,Call
AAPL,-2514,0,0,Stock
HDFCBANK,3275,1276,39,Call
TCS,3232,687,47,Call
HDFCBANK,1745,1091,46,Call
TSLA,4147,266,48,Put
RELIANCE,2718,883,26,Call
RELIANCE,2770,461,62,Call
TCS,1528,1421,26,Put
TCS,4450,1339,16,Put
RELIANCE,1643,704,62,Put
TSLA,-4983,1205,64,Put
TSLA,1558,0,0,Stock
TSLA,-2421,1168,31,Call
TCS,-1105,1151,40,Put
TSLA,-249,0,0,Stock
RELIANCE,1097,404,48,Call
HDFCBANK,-692,1145,20,Call
AAPL,-1221,1092,26,Put
AAPL,1205,0,0,Stock
TSLA,4133,978,26,Call
TCS,-2280,1149,15,Put
AAPL,2066,0,0,Stock
RELIANCE,-4380,605,59,Call
TCS,-2566,931,17,Put
TCS,-2686,798,87,Call
HDFCBANK,1011,1100,70,Put
HDFCBANK,-1224,717,20,Call
RELIANCE,-2580,1172,7,Put
TCS,120,552,62,Put
TSLA,700,315,34,Call
TSLA,653,0,0,Stock
TSLA,4024,401,20,Put
HDFCBANK,2080,358,52,Put
RELIANCE,4512,350,21,Call
TSLA,-4945,0,0,Stock
TSLA,4751,318,48,Call
RELIANCE,4952,0,0,Stock
HDFCBANK,-4246,1251,55,Put
RELIANCE,-2020,1133,83,Call
HDFCBANK,1126,0,0,Stock
RELIANCE,3418,1165,12,Put
RELIANCE,4061,700,16,Put
TCS,1464,0,0,Stock
RELIANCE,-4093,0,0,Stock
TSLA,348,0,0,Stock
TCS,4565,0,0,Stock
HDFCBANK,-3265,0,0,Stock
TSLA,-2392,831,13,Put
TSLA,4871,774,35,Put
TCS,-1436,855,42,Call
AAPL,2183,0,0,Stock
TCS,-2929,398,74,Call
RELIANCE,-4579,560,8,Put
TSLA,-2695,1145,15,Call
HDFCBANK,2872,413,11,Call
TSLA,1617,1361,23,Call
TSLA,-2818,1450,74,Put
HDFCBANK,1697,808,11,Call
HDFCBANK,3027,1439,64,Put
TSLA,2322,0,0,Stock
AAPL,-4253,683,35,Put
AAPL,2871,705,60,Call
AAPL,-548,1238,61,Put
HDFCBANK,1391,811,62,Call
TSLA,-1410,902,11,Call
RELIANCE,3585,1261,10,Call
RELIANCE,1223,1431,49,Put
TCS,-3276,0,0,Stock
HDFCBANK,4661,483,39,Call
AAPL,-314,0,0,Stock
HDFCBANK,-3231,389,35,Call
TCS,-1991,421,86,Call
TCS,2596,0,0,Stock
HDFCBANK,-2673,278,47,Call
RELIANCE,-4190,1393,13,Put
AAPL,969,881,24,Put
TSLA,-1297,442,10,Put
TSLA,-4742,301,9,Call
RELIANCE,1474,655,19,Call
AAPL,-4011,0,0,Stock
TCS,-4139,0,0,Stock
AAPL,3634,0,0,Stock
TCS,1994,724,70,Call
HDFCBANK,-1543,514,35,Put
RELIANCE,2901,712,57,Put
HDFCBANK,2385,248,80,Call
TCS,1760,1229,49,Put
HDFCBANK,-3179,1345,58,Put
RELIANCE,-4267,1482,34,Call
HDFCBANK,-715,0,0,Stock
TCS,296,1203,19,Call
TSLA,-4055,485,21,Put
TSLA,-3078,1037,44,Call
TSLA,4262,631,63,Call
TCS,4430,1272,27,Call
HDFCBANK,-3396,0,0,Stock
HDFCBANK,228,0,0,Stock
TCS,557,823,83,Call
TSLA,2673,353,25,Put
TSLA,-3852,954,87,Call
TCS,114,560,40,Call
TSLA,-3580,1390,63,Call
RELIANCE,3524,811,65,Put
TCS,4886,1193,79,Call
RELIANCE,2080,736,83,Put
TCS,1990,250,69,Put
HDFCBANK,-1056,507,85,Put
HDFCBANK,1084,481,72,Call
RELIANCE,832,1141,81,Call
AAPL,198,1237,64,Put
TSLA,-1891,1106,77,Call
HDFCBANK,771,268,78,Call
TSLA,-3106,288,81,Put
TCS,4866,476,30,Call
TCS,2310,1116,7,Call
RELIANCE,1905,211,22,Call
RELIANCE,2305,0,0,Stock
RELIANCE,3818,205,24,Put
AAPL,-3542,0,0,Stock
TSLA,2372,945,42,Put
AAPL,-4748,1098,89,Call
TSLA,2825,1108,8,Call
RELIANCE,-2583,1352,13,Call
TSLA,1698,0,0,Stock
TSLA,-1863,971,40,Put
AAPL,-1697,0,0,Stock
TCS,-3134,436,64,Call
TCS,1421,1479,38,Call
TSLA,379,1410,53,Put
TSLA,4688,1301,66,Put
RELIANCE,-1859,802,11,Call
HDFCBANK,-1885,217,75,Call
HDFCBANK,3628,1109,72,Call
TCS,-3197,1202,36,Put
TCS,1746,987,64,Put
RELIANCE,-4621,974,25,Call
HDFCBANK,2292,1157,56,Put
TCS,818,0,0,Stock
RELIANCE,1265,1269,21,Put
HDFCBANK,-3838,1276,21,Call
RELIANCE,-1162,461,9,Put
AAPL,1135,592,15,Call
TSLA,-781,541,38,Call
AAPL,2870,800,57,Put
TSLA,1644,251,36,Call
TSLA,1713,367,25,Call
RELIANCE,3782,807,62,Put
AAPL,-1666,1315,10,Put
TSLA,-4472,882,69,Call
AAPL,-2229,0,0,Stock
TCS,-4390,1318,57,Call
TSLA,-4344,963,19,Put
TCS,-3972,531,25,Put
AAPL,2623,791,80,Put
RELIANCE,-3493,320,81,Put
HDFCBANK,-4705,0,0,Stock
TCS,-623,478,65,Call
HDFCBANK,2794,906,71,Put
TCS,4763,880,83,Put
TCS,-3701,0,0,Stock
TCS,2571,589,10,Call
TCS,4425,1220,45,Put
AAPL,-4354,496,83,Call
TSLA,-321,0,0,Stock
RELIANCE,293,434,28,Put
TCS,526,241,18,Call
TSLA,3867,0,0,Stock
TCS,332,748,73,Put
HDFCBANK,-2841,429,88,Call
TSLA,-4729,1264,82,Call
RELIANCE,-4505,0,0,Stock
TCS,2196,608,55,Put
RELIANCE,-2601,1403,57,Put
HDFCBANK,4463,1342,47,Put
HDFCBANK,1350,1273,64,Call
TSLA,2188,1382,27,Call
TSLA,-3222,584,12,Put
TSLA,-2978,810,9,Call
TCS,-3472,731,53,Put
TCS,990,549,10,Call
TCS,-4777,1195,30,Put
HDFCBANK,-866,748,22,Call
HDFCBANK,2441,295,80,Call
TSLA,1583,0,0,Stock
HDFCBANK,-1242,1056,11,Call
TCS,757,0,0,Stock
AAPL,-3186,623,14,Put
AAPL,4626,638,21,Put
TCS,2265,732,39,Call
TSLA,-4396,0,0,Stock
TSLA,-1305,1120,41,Call
RELIANCE,-1192,1491,44,Put
HDFCBANK,-1059,0,0,Stock
RELIANCE,-517,1205,43,Put
HDFCBANK,-3579,1404,51,Put
AAPL,2433,687,82,Call
TCS,-4838,666,55,Call
TSLA,511,1260,37,Put
TSLA,4785,590,30,Call
RELIANCE,-3780,294,26,Call
TSLA,708,0,0,Stock
HDFCBANK,2425,977,13,Put
RELIANCE,3245,1271,24,Put
AAPL,-3352,0,0,Stock
TSLA,1790,540,73,Put
TSLA,-1384,0,0,Stock
HDFCBANK,3674,1209,46,Put
RELIANCE,-3571,857,81,Put
HDFCBANK,-4866,1365,13,Call
HDFCBANK,2025,0,0,Stock
RELIANCE,622,0,0,Stock
TCS,-3795,888,16,Put
RELIANCE,1325,719,73,Put
RELIANCE,-3726,0,0,Stock
TCS,2493,212,80,Call
TCS,-1631,1354,83,Call
HDFCBANK,1538,294,46,Put
HDFCBANK,-2857,1218,68,Call
TCS,1338,707,39,Call
AAPL,2840,401,47,Call
HDFCBANK,-3792,0,0,Stock
TSLA,477,0,0,Stock
HDFCBANK,-728,232,59,Put
RELIANCE,-937,0,0,Stock
AAPL,1746,1383,11,Call
AAPL,-2411,378,55,Put
RELIANCE,-4646,991,44,Call
TCS,4472,1350,13,Put
HDFCBANK,-4916,716,13,Call
TCS,3526,0,0,Stock
HDFCBANK,-1529,1465,82,Put
TCS,-4973,323,49,Put
AAPL,4158,0,0,Stock
AAPL,-748,0,0,Stock
RELIANCE,-4548,1355,49,Call
TSLA,-1448,1483,33,Call
TCS,-4577,706,51,Put
HDFCBANK,374,0,0,Stock
RELIANCE,-1924,0,0,Stock
